feature,correlation,mutual_importance,rf_feature_importance,rrf_feature_importance
section_travel_time_sec,2,1,1,2
delay_time_sec,1,2,2,1
avg_speed_kmph,46,3,3,3
avg_speed_kmph_lag1,53,4,6,6
section_travel_time_sec_lag1,4,5,5,4
delay_time_sec_lag1,3,6,4,5
prev_detector_avg_speed_kmph_lag3,90,7,71,74
prev_detector_section_travel_time_sec_lag3,93,8,62,65
prev_detector_delay_time_sec_lag3,94,9,63,69
avg_speed_kmph_lag2,56,10,18,20
prev_detector_avg_speed_kmph_lag4,95,11,107,99
density_vehpkm,21,12,10,11
prev_detector_delay_time_sec_lag2,78,13,72,50
prev_detector_section_travel_time_sec_lag2,77,14,35,47
section_travel_time_sec_lag2,12,15,11,12
delay_time_sec_lag2,11,16,12,9
prev_detector_avg_speed_kmph_lag2,87,17,41,46
prev_detector_delay_time_sec_lag4,99,18,110,114
prev_detector_section_travel_time_sec_lag4,98,19,124,149
section_travel_time_sec_lag3,5,20,27,17
delay_time_sec_lag3,6,21,17,18
avg_speed_kmph_lag3,58,22,25,25
prev_detector_avg_speed_kmph_lag1,88,23,111,117
prev_detector_delay_time_sec_lag1,68,24,88,145
prev_detector_section_travel_time_sec_lag1,67,25,109,147
avg_speed_kmph_lag4,60,26,47,100
density_vehpkm_lag1,26,27,22,16
prev_detector_avg_speed_kmph_lag5,106,28,82,120
prev_detector_density_vehpkm_lag3,89,29,74,84
delay_time_sec_lag4,8,33,58,55
section_travel_time_sec_lag4,7,36,24,54
delay_time_sec_lag5,9,38,80,73
section_travel_time_sec_lag5,10,39,83,82
delay_time_sec_lag6,15,44,96,96
density_vehpkm_lag2,27,45,16,19
section_travel_time_sec_lag6,16,46,119,121
section_travel_time_sec_lag7,18,51,76,91
delay_time_sec_lag7,17,52,52,63
section_travel_time_sec_lag8,25,57,28,22
delay_time_sec_lag8,24,58,20,23
avg_speed_kmph_lag8,70,59,21,24
next_detector_avg_speed_kmph_lag1,108,69,32,29
next_detector_section_travel_time_sec_lag1,50,75,29,31
next_detector_avg_speed_kmph_lag5,101,85,13,14
next_detector_section_travel_time_sec_lag4,28,93,48,51
next_detector_delay_time_sec_lag4,29,97,40,41
next_detector_section_travel_time_sec_lag6,14,99,8,8
next_detector_delay_time_sec_lag6,13,100,7,7
next_detector_section_travel_time_sec_lag5,19,105,14,13
next_detector_delay_time_sec_lag5,20,106,15,15
next_detector_avg_speed_kmph_lag6,100,107,9,10
next_detector_section_travel_time_sec_lag7,23,112,117,101
next_detector_delay_time_sec_lag7,22,113,121,127
next_detector_density_vehpkm_lag5,65,117,23,26
next_detector_density_vehpkm_lag6,69,119,30,28
next_detector_density_vehpkm_lag8,74,124,39,27
next_detector_flow_vehph_lag4,160,157,19,21
next_detector_flow_vehph_lag8,163,159,26,32
